epoch,samples,train_loss,valid_loss
1,100,0.003618316724896431,0.0026791924045394384
1,200,0.0028884331695735455,0.0026566243061748214
1,300,0.0024836736265569925,0.002654542885393428
1,400,0.0021234145388007164,0.0026535046329281427
1,500,0.0024973764084279537,0.0026532225321960487
1,600,0.0037799098063260317,0.0026528221665146614
1,700,0.0017068969318643212,0.0026525684759562333
1,800,0.0025046239607036114,0.0026519687875313845
1,900,0.0016159050865098834,0.0026517364571388715
1,1000,0.002855711616575718,0.0026516605364962113
1,1100,0.0021971133537590504,0.00265104404372422
1,1200,0.004492337815463543,0.0026505894898719647
epoch,samples,train_loss,valid_loss
2,100,0.003594700712710619,0.0026500830025123524
2,200,0.0028830331284552813,0.0026520755106267824
2,300,0.002483373275026679,0.0026499413280411587
2,400,0.0021241209469735622,0.002648991781447569
2,500,0.0024975715205073357,0.0026487783177758773
2,600,0.0037488010711967945,0.0026484476190399573
2,700,0.001714501529932022,0.002648284184201934
2,800,0.0025051464326679707,0.0026477622281099416
2,900,0.0016078895423561335,0.0026475907342074006
2,1000,0.002846101298928261,0.0026475930498680855
2,1100,0.0021948586218059063,0.0026470401559394
2,1200,0.004499560222029686,0.0026466630417079995
epoch,samples,train_loss,valid_loss
3,100,0.003592593828216195,0.0026462612853656287
3,200,0.0028792270459234715,0.002648297401618198
3,300,0.002483116928488016,0.0026462609774043316
3,400,0.0021247558761388063,0.0026453810996158763
3,500,0.002497752197086811,0.0026452221696416827
3,600,0.00372281763702631,0.002644947716987102
3,700,0.0017215758562088013,0.0026448592908097247
3,800,0.0025056363083422184,0.0026444005486094186
3,900,0.0016014138236641884,0.0026442786260618086
3,1000,0.002837913576513529,0.002644343696275768
3,1100,0.0021931612864136696,0.0026438404629661578
3,1200,0.004506523255258799,0.0026435257101538614
epoch,samples,train_loss,valid_loss
4,100,0.003591586137190461,0.002643210588011164
4,200,0.0028761662542819977,0.0026452806953061072
4,300,0.002482924610376358,0.0026433243570230416
4,400,0.002125318394973874,0.002642499513927097
4,500,0.002497908426448703,0.0026423798021548
4,600,0.0037012977991253138,0.0026421452795836707
4,700,0.0017280362080782652,0.002642107976097674
4,800,0.0025060600601136684,0.0026416931347475166
4,900,0.0015961910830810666,0.0026416083568701165
4,1000,0.002830927725881338,0.0026417199846583248
4,1100,0.0021918811835348606,0.0026412554120216454
4,1200,0.004513134248554707,0.002640987856138032
epoch,samples,train_loss,valid_loss
5,100,0.0035914890468120575,0.002640735988799756
5,200,0.002873658202588558,0.0026428300597981635
5,300,0.0024827327579259872,0.0026409375014902346
5,400,0.0021258231718093157,0.0026401549193877166
5,500,0.0024980453308671713,0.0026400668484072524
5,600,0.003683050163090229,0.002639865002835899
5,700,0.0017340173944830894,0.0026398710980892375
5,800,0.0025064442306756973,0.002639492874378902
5,900,0.001591896521858871,0.002639437564827215
5,1000,0.0028248599264770746,0.002639586118960411
5,1100,0.00219091959297657,0.002639150053944094
5,1200,0.0045194318518042564,0.002638920041071936
epoch,samples,train_loss,valid_loss
6,100,0.0035919882357120514,0.002638718216700819
6,200,0.002871583215892315,0.0026408299132765012
6,300,0.0024825644213706255,0.002638989911837199
6,400,0.0021262799855321646,0.00263824048020636
6,500,0.0024981710594147444,0.0026381770799757697
6,600,0.003667475888505578,0.002638001076746195
6,700,0.001739548984915018,0.002638041675566865
6,800,0.0025067953392863274,0.002637692385341247
6,900,0.0015883499290794134,0.0026376606355727732
6,1000,0.0028195613995194435,0.0026378385628165945
6,1100,0.002190208761021495,0.0026374241919628672
6,1200,0.004525386728346348,0.0026372227886209652
epoch,samples,train_loss,valid_loss
7,100,0.003592850174754858,0.0026371009456672184
7,200,0.0028699536342173815,0.0026392747514907954
7,300,0.002482426119968295,0.002637522535014768
7,400,0.002126646228134632,0.0026368518232013846
7,500,0.0024982665199786425,0.002636843271696339
7,600,0.003656333778053522,0.002636707309014594
7,700,0.0017435596091672778,0.0026368308386887423
7,800,0.00250703701749444,0.0026365358199471967
7,900,0.0015861375723034143,0.0026365340238782217
7,1000,0.0028162861708551645,0.002636780537599426
7,1100,0.0021894804667681456,0.0026364039663915734
7,1200,0.004528965335339308,0.00263627316317738
epoch,samples,train_loss,valid_loss
8,100,0.003593618981540203,0.002636184183934246
8,200,0.002869007643312216,0.00263835882103017
8,300,0.0024823416024446487,0.002636625676210553
8,400,0.0021268923301249743,0.002635963380890202
8,500,0.002498339395970106,0.0026359610711804613
8,600,0.0036487197503447533,0.0026358326773543066
8,700,0.0017466162098571658,0.002635965698038615
8,800,0.0025072298012673855,0.0026356786133917842
8,900,0.0015844774898141623,0.002635684382830993
8,1000,0.0028135632164776325,0.002635938192780216
8,1100,0.0021888127084821463,0.002635568012141239
8,1200,0.004532358609139919,0.0026354458426294915
epoch,samples,train_loss,valid_loss
9,100,0.0035944662522524595,0.0026353687764303145
9,200,0.0028681624680757523,0.0026375430862243766
9,300,0.0024822645355015993,0.0026358278459324815
9,400,0.00212712399661541,0.002635173440446701
9,500,0.002498407382518053,0.002635176694868638
